REGION,COUNCIL,WARD,SCHOOL NAME,SCHOOL OWNERSHIP,SCHOOL REG. NUMBER,< 12 years-M,< 12 years-F,12 years-M,12 years-F,13 years-M,13 years-F,14 years-M,14 years-F,15 years-M,15 years-F,16 years-M,16 years-F,17 years-M,17 years-F,18 years-M,18 years-F,19 years-M,19 years-F,> 19 years-M,> 19 years-F,Total-M,Total-F,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR
DODOMA,CHEMBA,CHANDAMA,CHANDAMA,GOVERNMENT,S.3627,0,0,0,0,1,8,2,25,34,40,16,28,14,26,27,13,5,4,0,0,99,144,8,5,8,5,19,19
DODOMA,CHEMBA,CHEMBA,CHEMBA,GOVERNMENT,S.3378,0,0,0,0,0,0,13,27,26,25,99,79,22,28,22,15,13,10,1,1,196,185,8,1,8,1,42,42
DODOMA,CHEMBA,DALAI,DALAI,GOVERNMENT,S.2463,0,0,0,0,0,0,2,25,18,52,43,50,50,54,24,36,14,2,0,0,151,219,13,2,13,2,25,25
DODOMA,CHEMBA,FARKWA,FARKWA,GOVERNMENT,S.1460,0,0,0,0,0,5,3,20,11,24,19,50,23,25,13,7,4,26,1,46,74,203,12,3,12,3,18,18
DODOMA,CHEMBA,GOIMA,GOIMA,GOVERNMENT,S.2452,0,0,0,0,1,6,3,13,7,14,35,40,22,33,15,15,4,5,0,0,87,126,10,1,10,1,19,19
DODOMA,CHEMBA,GWANDI,GWANDI,GOVERNMENT,S.4010,0,0,0,0,0,0,5,1,7,7,15,17,20,9,15,10,3,1,0,0,65,45,11,3,8,3,8,10
DODOMA,CHEMBA,JANGALO,ITOLWA,GOVERNMENT,S.3628,0,0,0,0,0,6,16,25,40,100,63,83,36,83,11,24,10,3,2,0,178,324,8,1,8,1,56,56
DODOMA,CHEMBA,JANGALO,JANGALO,GOVERNMENT,S.1976,0,0,0,0,0,16,21,26,36,51,34,41,27,71,21,9,4,6,0,0,143,220,7,1,7,1,45,45
DODOMA,CHEMBA,KIMAHA,KIMAHA,GOVERNMENT,s.3626,0,0,0,0,1,0,4,9,27,25,40,40,34,18,19,20,9,1,0,0,134,113,9,1,9,1,25,25
DODOMA,CHEMBA,KWAMTORO,KWAMTORO,GOVERNMENT,S.2451,0,0,0,1,4,18,8,25,22,58,31,43,12,18,8,4,5,0,0,0,90,167,4,4,4,4,32,32
DODOMA,CHEMBA,LALTA,LALTA,GOVERNMENT,S.4008,0,0,0,0,3,0,8,11,27,43,42,61,32,25,24,16,12,4,3,0,151,160,7,2,7,2,35,35
DODOMA,CHEMBA,MAKORONGO,MAKORONGO,GOVERNMENT,S.3438,0,0,0,0,0,2,6,11,10,10,20,26,9,34,10,8,7,6,0,1,62,98,10,1,10,1,15,15
DODOMA,CHEMBA,MONDO,AYA,NON-GOVERNMENT,S.869,0,0,0,0,0,0,7,8,13,20,15,15,8,20,8,19,13,11,5,1,69,94,9,5,8,3,12,15
DODOMA,CHEMBA,MONDO,MONDO,GOVERNMENT,S.513,0,0,0,0,3,13,14,81,53,104,60,103,51,81,47,27,12,40,0,34,240,483,12,3,12,3,48,48
DODOMA,CHEMBA,MPENDO,MPENDO,GOVERNMENT,S.4012,0,0,0,0,0,2,0,2,1,2,6,10,9,11,9,4,9,3,1,0,35,34,7,1,7,1,9,9
DODOMA,CHEMBA,MRIJO,MRIJO,GOVERNMENT,S.1461,0,0,0,0,14,18,35,38,73,126,80,132,49,85,43,25,37,28,8,7,339,459,11,3,11,3,57,57
DODOMA,CHEMBA,MSAADA,MSAADA,GOVERNMENT,S.3625,0,0,0,0,0,5,8,7,26,26,19,41,36,15,6,7,8,1,0,0,103,102,6,1,6,1,29,29
DODOMA,CHEMBA,OVADA,MSAKWALO,GOVERNMENT,S.1462,0,0,0,0,1,7,7,20,20,48,35,45,29,37,29,17,17,0,112,0,250,174,13,2,13,2,28,28
DODOMA,CHEMBA,PARANGA,KELEMA BALAI,GOVERNMENT,S.3380,0,0,0,0,0,0,9,19,21,52,20,37,8,23,20,12,2,0,0,0,80,143,7,4,7,4,20,20
DODOMA,CHEMBA,PARANGA,PARANGA,GOVERNMENT,S.3379,0,0,0,0,0,1,2,12,11,26,17,44,19,13,14,15,7,0,4,0,74,111,7,4,7,4,17,17
DODOMA,CHEMBA,SANZAWA,SANZAWA,GOVERNMENT,S.4011,0,0,0,0,0,5,2,9,4,17,12,24,13,17,6,6,3,2,1,0,41,80,6,0,6,0,20,20
DODOMA,CHEMBA,SONGOLO,SONGOLO,GOVERNMENT,S.1979,0,0,0,0,1,1,4,11,7,35,30,34,19,27,7,13,9,2,4,0,81,123,5,1,5,1,34,34
DODOMA,CHEMBA,SOYA,SOYA,GOVERNMENT,S.926,0,0,0,0,3,5,34,40,69,114,45,86,43,66,48,34,56,7,116,4,414,356,13,3,13,3,48,48
DODOMA,DODOMA CC,CHAMWINO,CHINANGALI,GOVERNMENT,S.1952,0,0,4,10,131,147,64,94,107,82,68,87,65,55,69,87,37,18,9,0,554,580,15,27,15,27,27,27
DODOMA,DODOMA CC,CHAMWINO,HIJRA SEMINARY,NON-GOVERNMENT,S.538,0,0,0,1,7,11,33,18,15,12,21,19,15,8,5,3,2,0,0,0,98,72,11,2,11,2,13,13
DODOMA,DODOMA CC,CHANG'OMBE,LUKUNDO,GOVERNMENT,S.3376,0,0,0,0,14,58,148,174,120,172,97,131,28,38,2,1,1,0,0,0,410,574,19,30,19,30,20,20
DODOMA,DODOMA CC,CHIGONGWE,CHIGONGWE,GOVERNMENT,S.4759,0,0,0,0,1,4,8,21,5,12,27,33,7,8,9,2,5,3,3,0,65,83,10,7,10,7,9,9
DODOMA,DODOMA CC,CHIHANGA,CHIHANGA,GOVERNMENT,S.2516,0,0,0,0,3,3,15,27,31,53,40,56,48,30,24,19,19,10,3,1,183,199,16,1,16,1,22,22
DODOMA,DODOMA CC,DODOMA MAKULU,DODOMA MAKULU,NON-GOVERNMENT,S.4909,0,0,0,0,1,7,2,6,5,3,3,3,3,8,1,4,3,0,0,3,18,34,8,3,8,3,5,5
DODOMA,DODOMA CC,DODOMA MAKULU,KISASA,GOVERNMENT,S.1953,0,0,0,0,12,37,53,96,51,115,100,64,95,80,60,56,16,25,1,0,388,473,12,45,12,45,15,15
DODOMA,DODOMA CC,DODOMA MAKULU,MARIA DE MATTIAS,NON-GOVERNMENT,S.4195,0,0,0,1,0,42,0,118,0,122,0,69,0,53,0,26,0,43,0,33,0,507,28,5,28,5,15,15
DODOMA,DODOMA CC,HAZINA,HAZINA,GOVERNMENT,S.2510,1,1,0,1,8,19,43,77,60,73,45,48,63,39,32,27,9,12,5,0,266,297,15,16,15,16,18,18
DODOMA,DODOMA CC,HAZINA,HURUMA GIRLS,NON-GOVERNMENT,S.981,0,2,0,22,0,68,0,71,0,58,0,28,0,33,0,34,0,40,0,32,0,388,21,2,21,2,17,17
DODOMA,DODOMA CC,HOMBOLO BWAWANI,HOMBOLO,GOVERNMENT,S.783,0,0,0,0,0,2,37,59,94,100,55,66,48,51,54,13,29,4,72,0,389,295,17,6,17,6,30,30
DODOMA,DODOMA CC,IHUMWA,IHUMWA,GOVERNMENT,S.2514,0,0,0,0,9,13,35,44,55,59,62,84,62,65,52,33,34,9,8,1,317,308,17,28,17,28,14,14
DODOMA,DODOMA CC,IHUMWA,ST. PETER CLAVER,NON-GOVERNMENT,S.4510,0,0,4,4,39,15,53,27,84,36,144,71,88,31,43,13,48,19,101,57,604,273,43,12,41,11,16,17
DODOMA,DODOMA CC,IPAGALA,MAKOLE,GOVERNMENT,S.2512,0,0,0,0,23,30,57,75,78,111,94,127,66,73,45,27,12,2,4,0,379,445,18,29,18,29,18,18
DODOMA,DODOMA CC,IPAGALA,MERRIWA,NON-GOVERNMENT,S.1107,0,0,0,0,0,0,5,2,10,11,9,15,17,29,24,34,14,12,37,20,116,123,17,1,16,1,13,14
DODOMA,DODOMA CC,IPALA,IPALA,GOVERNMENT,S.2517,0,0,0,0,0,2,8,27,29,25,18,27,31,34,17,11,12,0,5,1,120,127,11,3,11,3,18,18
DODOMA,DODOMA CC,KIKOMBO,KIKOMBO,GOVERNMENT,S.1961,0,0,0,1,0,0,5,15,9,41,24,25,24,16,26,21,12,8,3,1,103,128,12,2,12,2,17,17
DODOMA,DODOMA CC,KIKUYU KASKAZINI,KIKUYU,GOVERNMENT,S.966,0,0,0,0,14,7,40,69,41,73,59,79,62,61,25,35,18,9,8,1,267,334,22,28,22,28,12,12
DODOMA,DODOMA CC,KIKUYU KUSINI,WELLA,GOVERNMENT,S.3684,0,0,0,0,1,0,12,29,53,76,63,74,17,27,15,15,18,6,11,0,190,227,14,26,14,26,10,10
DODOMA,DODOMA CC,KILIMANI,SECHELELA,GOVERNMENT,S.3683,0,0,0,0,6,12,35,41,59,77,64,63,30,34,22,16,2,3,1,0,219,246,13,27,13,27,12,12
DODOMA,DODOMA CC,KIWANJA CHA NDEGE,KIWANJA CHA NDEGE,GOVERNMENT,S.782,0,0,0,0,0,0,16,34,54,110,74,131,81,65,22,8,3,1,0,0,250,349,14,30,14,30,14,14
DODOMA,DODOMA CC,KIWANJA CHA NDEGE,MLIMWA,GOVERNMENT,S.3613,0,0,0,0,16,22,39,38,57,53,75,69,41,44,31,50,20,13,1,0,280,289,18,33,18,33,11,11
DODOMA,DODOMA CC,KIZOTA,CITY,NON-GOVERNMENT,S.812,0,0,0,0,0,0,1,0,0,7,7,12,15,7,11,4,8,12,13,5,55,47,4,3,4,3,15,15
DODOMA,DODOMA CC,KIZOTA,KIZOTA,GOVERNMENT,S.2508,0,0,0,0,4,15,56,75,84,74,74,88,53,40,30,10,11,13,4,3,316,318,14,29,14,29,15,15
DODOMA,DODOMA CC,MAJENGO,UMONGA,GOVERNMENT,S.2509,0,0,0,0,22,45,63,90,101,103,78,57,68,65,45,27,15,17,0,0,392,404,21,22,19,22,19,19
DODOMA,DODOMA CC,MAKOLE,DODOMA,GOVERNMENT,S.30,0,0,0,0,14,14,50,73,124,138,74,91,96,83,54,82,43,181,0,142,455,804,37,39,37,39,17,17
DODOMA,DODOMA CC,MAKUTUPORA,MAKUTUPORA,GOVERNMENT,S.931,0,0,0,0,0,5,20,48,58,60,47,59,63,71,39,22,21,17,10,7,258,289,19,17,19,17,15,15
DODOMA,DODOMA CC,MAKUTUPORA,ST. GABRIEL UFUNDI,NON-GOVERNMENT,S.5006,0,1,6,2,6,7,13,5,6,9,6,9,2,5,2,0,0,1,0,0,41,39,8,2,7,2,8,9
DODOMA,DODOMA CC,MBABALA,BIHAWANA,GOVERNMENT,S.51,0,0,0,0,0,0,0,0,0,0,0,,3,0,47,0,164,0,482,0,696,0,22,11,22,11,21,21
DODOMA,DODOMA CC,MBABALA,BIHAWANA JUNIOR SEMINARY,NON-GOVERNMENT,S.197,0,0,0,0,25,0,15,0,34,0,67,0,44,0,34,0,19,0,9,0,247,0,10,0,9,0,25,27
DODOMA,DODOMA CC,MBABALA,MBABALA,GOVERNMENT,S.970,0,0,0,1,0,19,25,49,66,85,112,120,87,78,67,52,20,27,11,4,388,435,12,6,12,6,46,46
DODOMA,DODOMA CC,MBALAWALA,MBALAWALA,GOVERNMENT,S.3612,0,0,0,0,0,0,3,12,6,13,22,21,15,22,13,9,5,3,2,2,66,82,14,0,14,0,11,11
DODOMA,DODOMA CC,MIYUJI,AZIMIO,NON-GOVERNMENT,S.2383,0,0,0,0,6,10,9,14,15,21,18,28,21,18,3,5,7,4,3,3,82,103,14,3,14,3,11,11
DODOMA,DODOMA CC,MIYUJI,JAMII,NON-GOVERNMENT,S.4997,0,0,0,0,0,0,1,2,2,4,1,2,1,2,1,0,0,0,1,0,7,10,3,2,3,2,3,3
DODOMA,DODOMA CC,MIYUJI,JOHN MERLINI,NON-GOVERNMENT,S.4880,1,1,0,0,16,14,40,17,53,24,51,15,36,20,17,8,14,9,0,0,228,108,16,4,16,4,17,17
DODOMA,DODOMA CC,MIYUJI,SALESIAN SEMINARY,NON-GOVERNMENT,S.345,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,0,24,6,73,24,102,30,14,1,14,1,9,9
DODOMA,DODOMA CC,MKONZE,MKONZE,GOVERNMENT,S.2511,0,0,0,1,2,9,28,45,51,78,70,54,53,57,48,66,33,14,2,1,287,325,26,21,26,21,13,13
DODOMA,DODOMA CC,MNADANI,MIYUJI,GOVERNMENT,S.1955,0,0,0,0,17,26,76,97,112,107,102,82,45,53,28,34,15,9,6,2,401,410,19,30,19,30,17,17
DODOMA,DODOMA CC,MPUNGUZI,MPUNGUZI,GOVERNMENT,S.1558,0,0,0,0,2,5,35,81,70,128,89,122,79,113,70,36,25,11,4,1,374,497,19,13,19,13,27,27
DODOMA,DODOMA CC,MSALATO,CHIKOLE,GOVERNMENT,S.2243,0,0,0,1,7,8,34,40,38,57,59,70,34,42,23,19,7,3,5,0,207,240,17,16,17,16,14,14
DODOMA,DODOMA CC,MSALATO,MSALATO,GOVERNMENT,S.48,0,0,0,2,0,23,0,95,0,102,0,110,0,106,0,48,0,56,0,45,0,587,23,21,23,21,13,13
DODOMA,DODOMA CC,MTUMBA,MTUMBA,GOVERNMENT,S.1559,0,0,0,1,3,6,13,24,31,47,26,51,15,26,9,14,6,3,1,1,104,173,13,15,13,15,10,10
DODOMA,DODOMA CC,NALA,NALA,GOVERNMENT,S.1560,0,0,0,0,1,6,13,14,26,48,15,28,22,17,10,10,12,3,5,0,104,126,18,32,18,32,5,5
DODOMA,DODOMA CC,NG'ONNG'ONHA,NG'HONG'HONHA,GOVERNMENT,S.2513,0,0,0,0,4,6,15,35,69,56,47,52,31,50,19,24,14,11,4,0,203,234,16,20,16,20,12,12
DODOMA,DODOMA CC,NKUHUNGU,ITEGA,GOVERNMENT,S.3374,0,0,0,0,8,7,33,55,59,64,79,57,60,50,26,16,18,6,7,3,290,258,16,22,16,22,14,14
DODOMA,DODOMA CC,NKUHUNGU,MNADANI,GOVERNMENT,S.3373,0,0,2,4,16,53,78,100,55,103,79,99,71,62,34,12,11,6,1,0,347,439,25,22,25,22,17,17
DODOMA,DODOMA CC,NKUHUNGU,NKUHUNGU,NON-GOVERNMENT,S.1139,1,2,0,1,2,3,21,25,34,47,47,78,69,100,58,26,22,10,17,2,271,294,14,6,11,6,28,33
DODOMA,DODOMA CC,NTYUKA,NTYUKA,GOVERNMENT,S.3375,0,0,0,0,1,6,22,23,40,41,48,59,44,27,31,21,15,7,5,2,206,186,15,16,15,16,13,13
DODOMA,DODOMA CC,NZUGUNI,NZUGUNI,GOVERNMENT,S.2515,0,0,0,0,0,0,46,102,60,107,88,137,81,103,59,37,44,13,32,3,410,502,20,31,20,31,18,18
DODOMA,DODOMA CC,TAMBUKARELI,AL-QAEM SEMINARY,NON-GOVERNMENT,S.1153,0,0,0,0,1,1,47,32,14,8,25,19,32,26,6,9,0,0,0,0,125,95,12,7,7,6,12,17
DODOMA,DODOMA CC,TAMBUKARELI,DCT JUBILEE,NON-GOVERNMENT,S.1801,0,0,1,0,2,9,21,20,27,34,31,37,18,31,23,26,10,4,5,0,138,161,9,4,9,4,23,23
DODOMA,DODOMA CC,TAMBUKARELI,ST. IRENE MEDELI,NON-GOVERNMENT,S.2346,0,0,0,0,3,3,14,20,10,34,15,40,32,24,6,3,2,2,1,0,83,126,11,1,9,1,17,21
DODOMA,DODOMA CC,UHURU,DODOMA CENTRAL,NON-GOVERNMENT,S.4693,0,0,0,0,0,0,4,8,14,20,17,22,6,15,33,33,25,23,58,19,157,140,10,2,10,2,25,25
DODOMA,DODOMA CC,UHURU,JAMHURI,NON-GOVERNMENT,S.245,0,0,1,4,5,16,21,8,41,36,15,13,44,43,192,63,121,100,26,18,466,301,21,2,16,2,33,43
DODOMA,DODOMA CC,VIWANDANI,VIWANDANI,GOVERNMENT,S.1954,0,0,10,18,43,67,68,103,81,92,70,80,37,34,32,10,5,5,0,0,346,409,15,26,15,26,18,18
DODOMA,DODOMA CC,ZUZU,ZUZU,GOVERNMENT,S.2518,0,0,0,0,1,2,16,26,23,39,28,16,13,35,11,14,5,4,4,2,101,138,13,6,13,6,13,13
DODOMA,KONDOA,BEREKO,BEREKO,GOVERNMENT,S.565,0,0,3,2,1,3,3,25,29,50,35,67,38,36,30,19,7,10,4,1,150,213,7,4,7,4,33,33
DODOMA,KONDOA,BUMBUTA,BUMBUTA,GOVERNMENT,S.5114,0,0,0,0,7,7,7,15,15,49,13,9,3,1,2,0,0,0,0,0,47,81,4,0,4,0,32,32
DODOMA,KONDOA,BUSI,BUSI,GOVERNMENT,S.1463,0,0,0,0,0,6,20,59,49,122,54,156,72,127,28,18,16,5,6,0,245,493,11,2,9,2,57,67
DODOMA,KONDOA,CHANGAA,CHANGAA,GOVERNMENT,S.2162,0,0,0,0,0,5,7,29,6,25,28,38,28,51,11,16,7,6,0,0,87,170,6,3,6,3,29,29
DODOMA,KONDOA,HAUBI,INTELA,GOVERNMENT,S.825,0,0,0,1,1,4,21,41,36,90,57,83,31,66,44,38,32,4,1,2,223,329,11,1,11,1,46,46
DODOMA,KONDOA,HONDOMAIRO,HONDOMOIRO,GOVERNMENT,S.5113,0,0,0,0,0,0,35,46,6,7,0,,0,0,0,0,0,0,0,0,41,53,3,0,3,0,31,31
DODOMA,KONDOA,ITASWI,ITASWI,GOVERNMENT,S.1977,0,0,0,1,2,3,10,49,72,123,106,118,55,52,33,36,2,0,0,0,280,382,9,1,9,1,66,66
DODOMA,KONDOA,ITOLOLO,REGINA MUMBA LOWASA,GOVERNMENT,S.1973,0,0,0,0,0,5,12,41,42,61,54,68,48,60,20,21,20,4,1,1,197,261,8,3,8,3,42,42
DODOMA,KONDOA,KALAMBA,KALAMBA,GOVERNMENT,S.2458,0,0,0,0,3,3,16,25,23,87,40,64,11,19,10,8,9,1,3,0,115,207,11,0,11,0,29,29
DODOMA,KONDOA,KALAMBA,LOO,GOVERNMENT,S.2453,0,0,0,0,15,17,39,52,20,15,7,14,24,30,3,4,0,0,0,0,108,132,5,3,5,3,30,30
DODOMA,KONDOA,KIKILO,BERABERA,GOVERNMENT,S.3440,0,0,0,0,2,5,5,9,8,22,16,31,8,33,7,0,0,2,0,0,46,102,5,1,5,1,25,25
DODOMA,KONDOA,KIKILO,KIKILO,GOVERNMENT,S.2459,0,0,0,0,0,2,2,9,16,21,32,48,14,17,8,3,11,1,2,0,85,101,5,4,5,4,21,21
DODOMA,KONDOA,KIKILO,ORORIMO ISLAMIC,NON-GOVERNMENT,S.4925,0,0,0,0,0,2,7,12,11,20,16,28,13,18,11,7,0,1,0,1,58,89,6,6,6,6,12,12
DODOMA,KONDOA,KIKORE,HURUI,GOVERNMENT,S.1974,0,0,0,0,2,0,11,25,23,46,30,39,27,30,7,9,8,8,2,2,110,159,9,0,9,0,30,30
DODOMA,KONDOA,KIKORE,KIKORE,GOVERNMENT,S.2455,0,0,0,0,0,3,5,22,22,34,14,35,7,15,14,11,3,4,2,0,67,124,7,4,7,4,17,17
DODOMA,KONDOA,KINYASI,KINYASI,GOVERNMENT,S.4009,0,0,0,0,1,3,14,30,33,69,52,82,38,34,16,20,11,11,0,0,165,249,8,1,8,1,46,46
DODOMA,KONDOA,KISESE,KISESE,GOVERNMENT,S.1972,0,0,0,1,2,5,7,45,48,63,53,73,42,33,19,27,6,0,1,0,178,247,5,5,5,5,43,43
DODOMA,KONDOA,KWADELO,KWADELO,GOVERNMENT,S.3377,0,0,0,0,0,9,10,30,26,90,46,78,60,71,18,22,26,7,7,1,193,308,7,1,7,1,63,63
DODOMA,KONDOA,MASANGE,MASANGE,GOVERNMENT,S.2456,0,0,0,0,1,12,3,24,13,66,29,51,20,46,7,12,6,4,4,1,83,216,10,0,10,0,30,30
DODOMA,KONDOA,MNENIA,IMBAFI,GOVERNMENT,S.3381,0,0,0,0,0,0,55,89,22,46,20,65,45,106,25,40,14,13,8,1,189,360,7,3,7,3,55,55
DODOMA,KONDOA,PAHI,AMANI A. KARUME,GOVERNMENT,S.804,0,0,1,1,1,2,7,32,35,75,81,143,52,73,60,22,134,3,137,0,508,351,13,4,13,4,51,51
DODOMA,KONDOA,PAHI,KITEO,GOVERNMENT,S.3382,0,0,0,0,4,14,24,61,39,22,35,33,11,14,21,10,0,0,0,0,134,154,5,1,5,1,48,48
DODOMA,KONDOA,PAHI,TANNER GIRLS,NON-GOVERNMENT,S.4354,0,0,0,0,0,2,0,11,0,20,0,11,0,19,0,6,0,7,0,4,0,80,8,2,8,2,8,8
DODOMA,KONDOA,SALANKA,MASAWI,GOVERNMENT,S.3624,0,0,0,0,0,2,23,39,30,53,24,40,20,41,24,23,3,3,0,0,124,201,5,7,5,7,27,27
DODOMA,KONDOA,SOERA,BUKULU,GOVERNMENT,S.1464,0,0,2,1,5,1,25,60,70,86,55,66,47,42,22,17,3,0,0,0,229,273,9,2,9,2,46,46
DODOMA,KONDOA,THAWI,SAKAMI,GOVERNMENT,S.3439,0,0,0,0,0,2,1,8,16,33,18,25,29,22,13,11,6,2,2,0,85,103,7,0,7,0,27,27
DODOMA,KONDOA,THAWI,THAWI,GOVERNMENT,S.2457,0,0,0,0,1,2,2,15,9,50,32,37,22,33,7,3,2,0,1,1,76,141,6,0,6,0,36,36
DODOMA,KONDOA TC,BOLISA,GUBALI,GOVERNMENT,S.2450,0,0,0,0,5,6,16,33,33,28,21,33,8,19,10,13,3,0,0,0,96,132,12,3,12,3,15,15
DODOMA,KONDOA TC,CHEMCHEM,KWAPAKACHA,GOVERNMENT,S.373,0,0,0,0,3,15,45,86,83,104,75,96,51,72,54,53,7,7,1,0,319,433,14,16,14,16,25,25
DODOMA,KONDOA TC,KILIMANI,BICHA,GOVERNMENT,S.1971,0,0,10,4,44,43,28,32,25,53,54,57,39,50,16,24,3,1,0,0,219,264,16,10,16,10,19,19
DODOMA,KONDOA TC,KILIMANI,EMBEKO,NON-GOVERNMENT,S.4506,0,0,0,1,1,1,5,7,9,20,14,17,5,18,7,13,8,12,5,4,54,93,14,0,10,0,11,15
DODOMA,KONDOA TC,KINGALE,DILAI,GOVERNMENT,S.1975,0,0,0,0,0,2,32,86,28,88,20,62,27,68,14,11,1,0,0,0,122,317,12,1,12,1,34,34
DODOMA,KONDOA TC,KOLO,KOLO,GOVERNMENT,S.2454,0,0,0,0,0,2,15,16,37,52,21,28,19,34,0,3,3,0,0,0,95,135,9,4,9,4,18,18
DODOMA,KONDOA TC,KONDOA MJINI,IBRA,NON-GOVERNMENT,S.2520,0,0,0,0,1,1,2,4,8,11,11,19,11,21,4,12,15,3,7,7,59,78,9,1,9,1,14,14
DODOMA,KONDOA TC,KONDOA MJINI,KONDOA GIRLS,GOVERNMENT,S.246,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,61,0,190,0,377,0,630,19,11,19,11,21,21
DODOMA,KONDOA TC,KONDOA MJINI,KONDOA ISLAMIC,NON-GOVERNMENT,S.4443,0,0,0,0,0,12,9,22,108,147,72,140,40,67,14,9,3,2,0,0,246,399,22,5,13,4,24,38
DODOMA,KONDOA TC,KONDOA MJINI,ULA,GOVERNMENT,S.1465,0,0,0,0,14,42,69,104,71,117,91,115,77,113,39,36,15,6,0,0,376,533,8,17,8,17,36,36
DODOMA,KONDOA TC,SERYA,SERYA,GOVERNMENT,S.2461,0,0,0,0,0,1,20,31,22,29,16,17,14,21,5,3,7,2,1,0,85,104,3,4,3,4,27,27
DODOMA,KONDOA TC,SURUKE,MTOBUBU,GOVERNMENT,S.2161,0,0,0,2,3,11,19,27,33,42,27,27,25,38,4,12,0,0,0,0,111,159,9,1,9,1,27,27
DODOMA,KONGWA,CHAMKOROMA,MANG'HWETA,GOVERNMENT,s.1960,0,0,0,0,0,5,14,42,52,74,45,66,53,44,28,17,17,5,0,1,209,254,10,7,10,7,27,27
DODOMA,KONGWA,CHIWE,CHIWE,GOVERNMENT,S.2473,0,0,0,0,2,7,8,27,20,56,38,80,27,46,43,21,13,8,3,0,154,245,10,3,10,3,31,31
DODOMA,KONGWA,HOGORO,BANYIBANYI,GOVERNMENT,S.4941,0,0,0,0,6,2,27,24,27,57,20,20,17,27,12,1,5,2,1,0,115,133,7,0,7,0,35,35
DODOMA,KONGWA,HOGORO,HOGORO,GOVERNMENT,S.1959,0,0,0,0,1,5,6,26,30,57,58,84,45,43,37,19,12,6,3,1,192,241,9,3,9,3,36,36
DODOMA,KONGWA,IDUO,IDUO,GOVERNMENT,S.2472,0,0,0,0,0,1,7,13,23,28,42,63,31,26,29,26,13,7,7,2,152,166,10,0,10,0,32,32
DODOMA,KONGWA,KIBAIGWA,BENJAMINI,NON-GOVERNMENT,S.4944,0,0,0,0,0,0,2,1,7,13,5,8,3,1,0,0,0,0,3,0,20,23,5,1,5,1,7,7
DODOMA,KONGWA,KIBAIGWA,CHRISTOPHER,NON-GOVERNMENT,S.3580,0,0,0,0,0,0,9,10,16,14,14,19,5,9,0,0,0,0,0,0,44,52,9,1,9,1,10,10
DODOMA,KONGWA,KIBAIGWA,KIBAIGWA,GOVERNMENT,S.1565,1,0,1,3,20,41,60,116,111,135,232,170,160,126,14,12,2,2,2,1,603,606,19,21,19,21,30,30
DODOMA,KONGWA,KIBAIGWA,NDURUGUMI,GOVERNMENT,S.4900,0,0,0,0,4,10,25,44,43,72,64,75,50,38,34,27,22,10,10,3,252,279,12,6,12,6,30,30
DODOMA,KONGWA,KIBAIGWA,PIO,NON-GOVERNMENT,S.1145,0,0,8,13,53,16,59,27,66,50,74,56,10,8,4,6,0,0,0,0,274,176,18,6,17,5,19,20
DODOMA,KONGWA,KONGWA,KONGWA,GOVERNMENT,S.544,0,0,0,0,17,40,36,45,48,78,42,75,39,62,30,33,42,3,137,0,391,336,19,17,19,17,20,20
DODOMA,KONGWA,KONGWA,MNYAKONGO,GOVERNMENT,S.2471,0,0,0,0,2,6,20,36,42,75,47,88,40,51,29,39,27,4,0,3,207,302,9,14,9,14,22,22
DODOMA,KONGWA,KONGWA,MT. FRANCISCO WA ASSISI (GIRLS),NON-GOVERNMENT,S.4274,0,2,0,10,0,69,0,111,0,92,0,89,0,77,0,11,0,3,0,0,0,464,15,4,15,4,24,24
DODOMA,KONGWA,MAKAWA,MAKAWA,GOVERNMENT,S.2852,0,0,0,0,0,3,8,13,24,30,30,39,33,44,20,24,28,15,4,1,147,169,11,1,11,1,26,26
DODOMA,KONGWA,MATONGORO,NORINI,GOVERNMENT,S.2851,0,0,0,0,1,6,12,39,41,83,68,76,61,71,26,30,28,21,8,4,245,330,11,2,11,2,44,44
DODOMA,KONGWA,MKOKA,ZOISSA,GOVERNMENT,S.412,0,0,0,2,4,17,40,69,82,92,72,65,41,35,27,14,7,4,3,0,276,298,13,7,13,7,29,29
DODOMA,KONGWA,MLALI,MLALI,GOVERNMENT,S.788,0,0,0,0,9,48,51,109,89,96,99,83,81,56,30,15,14,1,3,0,376,408,15,5,14,5,39,41
DODOMA,KONGWA,MLALI,ST. CLARA MLALI GIRLS,NON-GOVERNMENT,s.4747,0,0,0,0,0,7,0,40,0,50,0,45,0,35,0,37,0,19,0,14,0,247,11,4,10,4,16,18
DODOMA,KONGWA,MTANANA,MTANANA,GOVERNMENT,S.1958,0,0,0,0,0,3,5,22,21,49,58,46,41,26,30,12,8,3,2,0,165,161,10,2,10,2,27,27
DODOMA,KONGWA,MTANANA,NDALIBO,GOVERNMENT,S.3602,0,0,0,0,3,1,17,19,13,40,40,52,30,39,23,19,16,1,4,2,146,173,6,8,6,8,23,23
DODOMA,KONGWA,NGHUMBI,NG'HUMBI,GOVERNMENT,S.2850,0,0,0,0,0,4,0,13,16,30,38,28,22,27,15,6,16,5,7,0,114,113,9,4,9,4,17,17
